RequestNumber,Index Name,INDEX_NAME,Date,Open,High,Low,Close,Date_2
His63865831593827869200,,Nifty 50,3-Jan-00,1482.15,1592.9,1482.15,1592.2,3/1/2000
His63865831593827869200,,Nifty 50,4-Jan-00,1594.4,1641.95,1594.4,1638.7,4/1/2000
His63865831593827869200,,Nifty 50,5-Jan-00,1634.55,1635.5,1555.05,1595.8,5/1/2000
His63865831593827869200,,Nifty 50,6-Jan-00,1595.8,1639,1595.8,1617.6,6/1/2000
His63865831593827869200,,Nifty 50,7-Jan-00,1616.6,1628.25,1597.2,1613.3,7/1/2000
His63865831593827869200,,Nifty 50,10-Jan-00,1615.65,1662.1,1614.95,1632.95,10/1/2000
His63865831593827869200,,Nifty 50,11-Jan-00,1633.25,1639.9,1548.25,1572.5,11/1/2000
His63865831593827869200,,Nifty 50,12-Jan-00,1572.3,1631.55,1571.7,1624.8,12/1/2000
His63865831593827869200,,Nifty 50,13-Jan-00,1627.85,1671.15,1613.65,1621.4,13/01/2000
His63865831593827869200,,Nifty 50,14-Jan-00,1622.15,1627.4,1591.4,1622.75,14/01/2000
His63865831593827869200,,Nifty 50,17-Jan-00,1623.5,1668.45,1604.65,1611.6,17/01/2000
His63865831593827869200,,Nifty 50,18-Jan-00,1611.65,1615.15,1587.85,1606.7,18/01/2000
His63865831593827869200,,Nifty 50,19-Jan-00,1610.05,1644.45,1608.85,1634.85,19/01/2000
His63865831593827869200,,Nifty 50,20-Jan-00,1634.65,1644.4,1596.65,1601.1,20/01/2000
His63865831593827869200,,Nifty 50,21-Jan-00,1601.25,1626.5,1593.2,1620.6,21/01/2000
His63865831593827869200,,Nifty 50,24-Jan-00,1623.05,1645,1608.3,1613.6,24/01/2000
His63865831593827869200,,Nifty 50,25-Jan-00,1612.95,1613.65,1579.55,1586.4,25/01/2000
His63865831593827869200,,Nifty 50,27-Jan-00,1600.5,1633.55,1600.05,1603.9,27/01/2000
His63865831593827869200,,Nifty 50,28-Jan-00,1603.65,1610.9,1592.7,1599.1,28/01/2000
His63865831593827869200,,Nifty 50,31-Jan-00,1598.35,1598.35,1538.7,1546.2,31/01/2000
His63865831593827869200,,Nifty 50,1-Feb-00,1546.2,1554.15,1521.4,1549.5,1/2/2000
His63865831593827869200,,Nifty 50,2-Feb-00,1554.2,1605.9,1554.2,1588,2/2/2000
His63865831593827869200,,Nifty 50,3-Feb-00,1591.25,1616.7,1591.25,1597.9,3/2/2000
His63865831593827869200,,Nifty 50,4-Feb-00,1598.5,1621.35,1596.45,1599.75,4/2/2000
His63865831593827869200,,Nifty 50,7-Feb-00,1599.8,1645.9,1599.8,1636.6,7/2/2000
His63865831593827869200,,Nifty 50,8-Feb-00,1636.6,1676.1,1636.6,1662.75,8/2/2000
